3D Asset?,Prop ID ,Link,Brand,Prop Name,Size,Color,Modsy Color,EXTERNAL_ID,Retail,Ghost Product,Living Room,Dining Room,Family Room,Office,Guest Room,Master Bedroom,Guest Bedroom,Kid's Room,Nursery,Entry,Studio,Open Living / Dining Room,Price Point,Pet-Friendly,Kid-Friendly,Mod Visionary,Rustic Warmth,Mod Enthusiast,Atomic Industrial,Mod Collector,Contemporary Connoisseur,Refined Rustic,Contemporary Minimalist,Elegant Connoisseur,Modern Rustic,Refined Modern,Mid-Century Chic,Industrial Visionary,Chic Collector,Comfortably Chic,Updated Traditional,Rustic Traveler,Contemporary Collector,Reclaimed Visionary,Discerning Collector,Less is More Chic,Inviting Industrial,Refined Connoisseur,Urban Collector,Classic Collector,Refined Industrial,Urban Traditional,Vintage Farmhouse,Modern Vintage,Industrial Chic,Farmhouse Chic,Refined Farmhouse,Timeless Traditional,Traditional Collector,Rustic Minimalist,Traditionally Chic,Cost
,,,Noir,"Fingers Crossed, Brass","9.5"" x 4"" x 3""",,Metallic,AB-123BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,X,,X,,,X,,,X,,,,,,,70
,,,Noir,"Thumbs Up, Brass","8.5"" x 4.5"" x 4.5""",,Metallic,AB-124BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"Open Hand, Brass","9"" x 8"" x 2.5""",,Metallic,AB-126BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,X,,X,,,X,,,X,,,,,,,70
,,,Noir,"Ok Sign, Brass","9"" x 5"" x 4""",,Metallic,AB-127BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"I Love You, Brass","9.5"" x 6.5"" x 3""",,Metallic,AB-128BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"We Are Number One, Brass","9"" x 4.5"" x 3.5""",,Metallic,AB-129BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,,,,X,X,,,,X,X,,,X,,X,,,X,,,X,,,,,,,70
,,,Noir,"Peace Sign, Silver","9"" x 4.5"" x 3""",,Silver,AB-144SV,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"The Finger, Silver","9.5"" x 4.5"" x 2.5""",,Silver,AB-145SV,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"Thumbs Up, Silver","8.5"" x 4.5"" x 4.5""",,Silver,AB-147SV,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"Ok Sign, Silver","9"" x 5"" x 4""",,Silver,AB-150SV,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"I Love You, Silver","9.5"" x 6.5"" x 3""",,Silver,AB-151SV,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,X,X,,X,,X,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"Peace Sign, Brass","9"" x 4.5"" x 3""",,Metallic,AB-1BR,161,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,X,X,X,,,,,,,,X,X,,,,X,X,,,,,,,,X,,,X,,,,,,,70
,,,Noir,"Zola Chair, Charcoal Black","29"" x 22"" x 21.5",,Black,AE-13CHB,$420.00,,,X,,,,,,,,,X,X,Mid,,,X,X,,,X,X,X,,,,,,,,,X,X,,X,X,,,,,X,X,,,X,,,,X,X,X,,$184.00
,,,Noir,"Reuleaux Coffee Table,Small, Charcoal Black","17"" x 21"" x 20.5""",,,AE-28CHB,$371.00 ,,X,,,,,,,,,,X,X,Opening,,X,X,,X,X,X,,,,,X,,,X,,,,,,,X,,,X,X,,,X,X,X,,,,,X,X,,$162.00
,,,Noir,"Reuleaux Coffee Table, Large, Charcoal Black","20"" x 29.5"" x 29""",,Black,AE-29CHB,$445.00 ,,X,,,,,,,,,,X,X,Mid,,X,X,,X,X,X,,,,,X,,,X,,,,,,,X,,,X,X,,,X,X,X,,,,,X,X,,$195.00
,,,Noir,Zigzag Bookcase,"89"" x 53"" x 12""",,Beige,GBCS139OW,2218,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,X,,X,X,,X,,X,,X,X,,,,,,,X,X,X,X,X,X,,,,X,,X,X,,,,,,,970
,,,Noir,"Priam Shelf, Metal and Glass","88.5"" x 29.5"" x 19""",,Black,GBCS181MT,1792,,X,X,X,X,X,X,X,X,X,X,X,X,High,,,,,,,,,,,,,,,X,X,,,,X,X,,,X,,,,,,,,,,,,,,,784
,,,Noir,"Venice Bed, Eastern King, Weathered","85"" x 80"" x 85""",,Brown,GBED107EKWEA,2213,,,,,X,X,X,X,,,,X,,High,,,,,,,,,X,,X,,,,,,,,,,,X,,,X,,X,X,,,,,,X,X,X,,X,$968.00
,,,Noir,"Venice Bed, Eastern King, White Wash","85"" x 80"" x 85""",,White,GBED107EKWH,2213,,,,,X,X,X,X,,,,X,,High,,,,,,,,,X,,X,,,,,,,,,,,X,,,X,,X,X,,,,,,X,X,X,,X,$968.00
